Record ID,Date Closed,Due Date,Implementation Phase,Implementation Type,CA ID,Record ID,Target Implementation Date,Status,Lifecycle State,QE ID,URL-Record ID,URL-Record ID
CA-017684,,,,Post-Implementation,CA-017684,QE-007093,09-Aug-24,Active,In Assessment & Plan Building,QE-007093,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z9007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W4001
CA-017683,,,N/A,Post-Implementation,CA-017683,QE-007232,02-Aug-24,Active,In Post-Implementation Execution,QE-007232,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z9006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XC001
CA-017682,,,N/A,Pre-Implementation,CA-017682,QE-007093,09-Aug-24,Active,In Assessment & Plan Building,QE-007093,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z9005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W4001
CA-017681,,21-Jun-24,N/A,Pre-Implementation,CA-017681,QE-006891,12-Jul-24,Active,In Pre-Implementation Execution,QE-006891,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z9004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TZ003
CA-017680,,,NA,Pre-Implementation,CA-017680,QE-007163,15-Nov-24,Active,In Assessment & Plan Building,QE-007163,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000ZB001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WU001
CA-017679,,02-Aug-24,N/A,Post-Implementation,CA-017679,QE-007231,13-Jun-24,Active,In Post-Implementation Execution,QE-007231,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000ZA011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XB007
CA-017678,,02-Aug-24,N/A,Post-Implementation,CA-017678,QE-007231,13-Jun-24,Active,In Post-Implementation Execution,QE-007231,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000ZA010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XB007
CA-017677,,09-Aug-24,N/A,Post-Implementation,CA-017677,QE-007232,02-Aug-24,Active,In Post-Implementation Execution,QE-007232,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000ZA009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XC001
CA-017676,18-Jun-24,18-Jun-24,N/A,Pre-Implementation,CA-017676,QE-007232,02-Aug-24,Active,In Post-Implementation Execution,QE-007232,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000ZA008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XC001
CA-017675,,30-Oct-24,phase 1,Pre-Implementation,CA-017675,QE-007129,30-Oct-24,Active,In Pre-Implementation Execution,QE-007129,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000ZA007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WD007
