Record ID,Created Date,Date Closed,Due Date,Last Modified Date,Implementation Phase,Implementation Type,Record ID,Target Implementation Date,URL-Record ID,URL-Record ID
CA-017244,19-04-24 13:32,06-Jun-24,27-May-24,06-06-24 10:54,N/A,Pre-Implementation,QE-007109,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000YC005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W8008
CA-017242,19-04-24 13:30,06-Jun-24,27-May-24,06-06-24 10:53,N/A,Pre-Implementation,QE-007109,31-May-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000YC003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W8008
CA-017164,04-04-24 11:03,08-Apr-24,05-Apr-24,08-04-24 12:41,N/A,Pre-Implementation,QE-007108,08-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Y7001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W8007
CA-017125,28-03-24 12:46,11-Apr-24,08-May-24,11-04-24 10:06,N/A,Pre-Implementation,QE-007099,12-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Y4002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W6002
CA-017122,28-03-24 11:23,24-Apr-24,29-May-24,24-04-24 15:34,N/A,Post-Implementation,QE-006830,29-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Y3001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TP003
CA-017067,19-03-24 10:05,17-Jun-24,30-Oct-24,17-06-24 12:53,N/A,Pre-Implementation,QE-007070,30-Sep-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XX010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VY002
CA-017066,19-03-24 10:04,17-Jun-24,30-Oct-24,17-06-24 12:54,N/A,Pre-Implementation,QE-007070,30-Sep-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XX009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VY002
CA-017065,19-03-24 9:58,17-Jun-24,30-Oct-24,17-06-24 12:47,N/A,Pre-Implementation,QE-007069,30-Sep-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XY006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VY001
CA-017064,19-03-24 9:54,17-Jun-24,30-Oct-24,17-06-24 12:46,N/A,Pre-Implementation,QE-007069,30-Sep-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XY005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VY001
CA-017061,18-03-24 12:32,26-Mar-24,30-Apr-24,23-04-24 11:30,N/A,Pre-Implementation,QE-006770,30-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XX007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000T5003
CA-017050,18-03-24 8:30,18-Mar-24,31-May-24,18-03-24 17:43,,Pre-Implementation,QE-007002,30-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XX002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VH010
CA-017049,18-03-24 8:30,18-Mar-24,31-May-24,18-03-24 17:29,,Pre-Implementation,QE-007002,30-Jun-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XX001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VH010
CA-017040,15-03-24 14:48,08-May-24,30-Dec-24,08-05-24 13:51,N/A,Pre-Implementation,QE-007065,30-Dec-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XU013,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VV003
CA-017039,15-03-24 14:47,12-Apr-24,30-Dec-24,12-04-24 11:05,N/A,Pre-Implementation,QE-007065,30-Dec-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XU012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VV003
CA-017038,15-03-24 14:46,08-May-24,30-Dec-24,08-05-24 13:50,N/A,Pre-Implementation,QE-007065,30-Dec-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XU011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VV003
CA-016967,13-03-24 11:08,29-Apr-24,28-Jun-24,08-05-24 13:34,N/A,Pre-Implementation,QE-006294,30-Nov-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XR046,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000O1001
CA-016965,13-03-24 11:02,29-Apr-24,28-Jun-24,08-05-24 13:34,N/A,Pre-Implementation,QE-006413,30-Nov-23,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XR045,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000PP004
CA-016905,11-03-24 9:45,28-Mar-24,29-Apr-24,28-03-24 9:17,N/A,Pre-Implementation,QE-006830,29-Apr-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XS019,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000TP003
CA-016878,08-03-24 9:35,23-Apr-24,22-Mar-24,23-04-24 19:23,,Pre-Implementation,QE-007053,31-Mar-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XR014,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VU012
CA-016643,28-02-24 13:22,06-Jun-24,29-Oct-24,06-06-24 11:59,N/A,Pre-Implementation,QE-007011,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ017,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ003
CA-016642,28-02-24 13:21,06-Jun-24,29-Oct-24,06-06-24 9:11,N/A,Pre-Implementation,QE-007011,29-Oct-24,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000XJ016,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000VJ003
