QE ID,Implementation Phase,Latest_Date_Closed,Any_Blanks
QE-004030,n/a,,True
QE-004133,n/a,2023-12-07,False
QE-005364,n/a,2024-02-05,False
QE-005406,n/a,2023-10-26,False
QE-005481,n/a,,True
QE-005759,n/a,2023-02-23,False
QE-005827,n/a,2023-02-27,False
QE-005859,n/a,2024-04-03,False
QE-005951,n/a,2023-11-27,False
QE-006046,n/a,2024-05-15,False
QE-006046,phase 1,2024-05-15,False
QE-006097,n/a,2024-06-06,True
QE-006112,n/a,2023-08-01,False
QE-006126,n/a,2023-12-22,False
QE-006141,n/a,2023-07-16,False
QE-006141,phase 2,2023-07-16,False
QE-006141,phase 3,2023-07-16,False
QE-006142,n/a,2023-10-21,False
QE-006143,n/a,2024-05-30,False
QE-006143,phase 2,2024-05-29,False
QE-006206,n/a,2023-05-05,False
QE-006209,n/a,2023-08-31,False
QE-006209,post-im,2023-03-17,False
QE-006224,n/a,2023-09-26,False
QE-006224,phase 2,2023-09-27,False
QE-006224,phase 3,2023-05-24,False
QE-006226,n/a,2023-09-27,False
QE-006244,n/a,2023-02-28,False
QE-006249,n/a,2023-05-17,False
QE-006269,n/a,2024-01-29,False
QE-006282,n/a,2023-04-04,False
QE-006287,n/a,2023-12-07,False
QE-006289,n/a,2023-10-25,False
QE-006290,n/a,2023-10-25,False
QE-006293,n/a,2023-08-16,False
QE-006294,n/a,2024-04-29,False
QE-006296,n/a,2023-05-05,False
QE-006297,n/a,2023-09-28,False
QE-006323,n/a,2024-05-02,False
QE-006332,n/a,2024-01-03,False
QE-006332,prior t,2023-05-03,False
QE-006334,n/a,2024-04-17,True
QE-006335,n/a,2024-04-23,True
QE-006336,n/a,2024-02-08,False
QE-006336,phase 2,2023-08-09,False
QE-006337,n/a,2024-04-24,True
QE-006337,phase 2,2024-04-24,False
QE-006345,n/a,2023-08-29,False
QE-006347,n/a,2023-02-17,False
QE-006348,n/a,2023-02-01,False
QE-006355,n/a,2023-05-10,False
QE-006356,n/a,2023-11-30,False
QE-006363,n/a,2024-05-23,True
QE-006367,n/a,2024-05-30,False
QE-006368,n/a,2024-05-13,False
QE-006369,n/a,2024-05-15,False
QE-006370,n/a,2024-05-09,True
QE-006380,n/a,2023-06-16,False
QE-006382,n/a,2024-03-29,False
QE-006384,n/a,2023-07-27,False
QE-006384,phase 1,2023-09-20,False
QE-006384,phase i,2023-12-15,False
QE-006387,n/a,2023-06-08,False
QE-006388,n/a,2023-06-08,False
QE-006390,n/a,2023-11-16,False
QE-006403,n/a,2023-05-11,False
QE-006404,n/a,,True
QE-006406,n/a,2023-11-30,False
QE-006410,n/a,2023-12-14,False
QE-006411,n/a,2023-10-16,False
QE-006412,n/a,2023-07-20,False
QE-006413,n/a,2024-04-29,False
QE-006414,n/a,2023-08-14,False
QE-006425,n/a,2024-03-28,False
QE-006426,n/a,2023-06-30,False
QE-006427,n/a,2023-05-22,False
QE-006428,n/a,2023-08-23,False
QE-006439,n/a,2023-08-21,False
QE-006440,n/a,2024-06-17,True
QE-006441,n/a,2024-04-25,True
QE-006442,n/a,2023-05-16,False
QE-006443,n/a,2023-05-16,False
QE-006444,n/a,2023-09-13,False
QE-006451,n/a,2024-02-27,False
QE-006452,n/a,2024-03-25,True
QE-006453,n/a,2024-05-28,True
QE-006459,n/a,2023-10-02,False
QE-006460,n/a,2023-09-13,False
QE-006462,n/a,2023-11-20,False
QE-006463,n/a,2024-03-25,False
QE-006465,n/a,2024-06-03,True
QE-006466,n/a,2023-09-18,False
QE-006467,n/a,2024-06-10,False
QE-006468,n/a,2023-06-12,False
QE-006470,n/a,2023-12-14,False
QE-006471,n/a,2024-03-29,False
QE-006473,n/a,2024-03-18,False
QE-006474,n/a,2024-04-05,False
QE-006474,phase 1,2024-01-19,False
QE-006474,phase i,2024-01-19,False
QE-006475,n/a,2024-01-12,False
QE-006478,n/a,2024-04-24,False
QE-006479,n/a,2024-05-15,False
QE-006488,n/a,,True
QE-006489,n/a,2023-06-21,False
QE-006493,n/a,2024-06-05,False
QE-006496,n/a,2023-11-28,False
QE-006499,n/a,2023-09-20,False
QE-006500,n/a,2023-09-07,False
QE-006502,n/a,2023-10-24,False
QE-006506,*pdufa,2024-01-09,False
QE-006506,*post p,2024-02-01,False
QE-006506,*pre pd,2023-09-27,False
QE-006506,n/a,2024-01-24,False
QE-006507,n/a,,True
QE-006507,pre-imp,2024-02-15,False
